01010000601,172.21.31.168,9200000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000602,172.21.31.168,9200000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000603,172.21.31.168,9200000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000604,172.21.31.168,9200000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000605,172.21.31.168,9200000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000606,172.21.31.168,9200000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000607,172.21.31.168,9200000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000608,172.21.31.168,9200000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000609,172.21.31.168,9200000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000610,172.21.31.168,9200000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000611,172.21.31.168,9100000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000612,172.21.31.168,9100000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000613,172.21.31.168,9100000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000614,172.21.31.168,9100000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000615,172.21.31.168,9100000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000616,172.21.31.168,9100000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000617,172.21.31.168,9100000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000618,172.21.31.168,9100000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000619,172.21.31.168,9100000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000620,172.21.31.168,9100000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000621,172.21.31.168,9100000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000622,172.21.31.168,9100000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000623,172.21.31.168,9100000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000624,172.21.31.168,9100000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000625,172.21.31.168,9100000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000626,172.21.31.168,9100000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000627,172.21.31.168,9100000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000628,172.21.31.168,9100000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000629,172.21.31.168,9100000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000630,172.21.31.168,9100000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000631,172.21.31.168,9100000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000632,172.21.31.168,9100000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000633,172.21.31.168,9100000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000634,172.21.31.168,9100000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000635,172.21.31.168,9100000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000636,172.21.31.168,9100000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000637,172.21.31.168,9100000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000638,172.21.31.168,9100000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000639,172.21.31.168,9100000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000640,172.21.31.168,9100000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000641,172.21.31.168,9100000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000642,172.21.31.168,9100000000000S,L,C,99990,1,lte,50,192.168.0.10
01010000643,172.21.31.168,9100000000000S,L,C,99990,1,lte,50,192.168.0.10
